Rk,Player,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches,-9999
1,Brenden Aaronson,MF,us United States,25,2000,1,76,76,16.9,0.8,1,76,0,0,,4,0.00,2,2,0,0.00,-0.72,Matches,5bc43860
2,Thelo Aasgaard,MF,no Norway,24,2002,1,90,90,15.8,1.0,1,90,1,0,,5,0.00,1,4,-3,-3.00,-3.94,Matches,c88a28b9
3,Achref Abada,DF,dz Algeria,26,1999,0,,,,,0,,0,0,,4,,,,,,,Matches,30885199
4,Hamza Abdelkarim,FW,eg Egypt,18,2008,4,60,15,12.5,0.7,0,,0,4,15,1,1.50,1,0,+1,+1.50,+1.50,Matches,057d8f12
5,Hossam Abdelmaguid,DF,eg Egypt,25,2001,2,59,30,12.3,0.7,0,,0,2,30,2,2.00,0,0,0,0.00,-0.21,Matches,accbfc94
6,Mohamed Abdelmonem,DF,eg Egypt,27,1999,2,14,7,2.9,0.2,1,13,0,1,1,1,2.00,1,1,0,0.00,-0.19,Matches,bff15d74
7,Ali Abdi,DF,tn Tunisia,32,1993,3,269,90,99.6,3.0,3,90,2,0,,0,0.00,2,12,-10,-3.35,-3.35,Matches,ad7cdb35
8,Saud Abdulhamid,DF,sa Saudi Arabia,26,1999,3,269,90,99.6,3.0,3,90,2,0,,0,0.67,1,5,-4,-1.34,-1.34,Matches,caa254e4
9,Abdulla Abdullaev,DF,uz Uzbekistan,28,1997,2,180,90,66.7,2.0,2,90,2,0,,1,0.00,1,8,-7,-3.50,-1.50,Matches,03053fbf
10,Yusuf Abdurisag,FW,qa Qatar,26,1999,2,98,49,36.3,1.1,2,49,0,0,,1,0.50,0,3,-3,-2.76,-0.14,Matches,13c8f40b
11,Husam Abu Dahab,DF,jo Jordan,26,2000,2,178,89,65.9,2.0,2,89,0,0,,1,0.00,2,5,-3,-1.52,+0.44,Matches,300aaeb6
12,Mohammad Abu Hasheesh,DF,jo Jordan,31,1995,1,6,6,2.2,0.1,0,,0,1,6,2,0.00,0,0,0,0.00,+1.70,Matches,72c2fa7a
13,Mohannad Abu Taha,DF,jo Jordan,23,2003,3,264,88,97.8,2.9,3,88,2,0,,0,0.00,3,8,-5,-1.70,-1.70,Matches,5c4bac6c
14,Mo Abualnadi,DF,jo Jordan,25,2001,1,71,71,26.3,0.8,1,71,0,0,,2,0.00,1,1,0,0.00,+2.26,Matches,4bff62e4
15,Yazeed Abulaila,GK,jo Jordan,33,1993,3,270,90,100.0,3.0,3,90,3,0,,0,0.00,3,8,-5,-1.67,,Matches,5d11fc17
16,Mahmoud Abunada,GK,qa Qatar,26,2000,3,270,90,100.0,3.0,3,90,3,0,,0,0.33,2,10,-8,-2.67,,Matches,27e7e545
17,Carlos Acevedo,GK,mx Mexico,30,1996,0,,,,,0,,0,0,,5,,,,,,,Matches,0810e384
18,Elias Achouri,FWMF,tn Tunisia,27,1999,3,43,14,15.9,0.5,0,,0,3,14,0,0.00,0,2,-2,-4.19,-1.01,Matches,4dd2a0be
19,Ché Adams,FW,sct Scotland,29,1996,3,145,48,53.7,1.6,2,72,0,1,1,0,1.00,1,1,0,0.00,+2.16,Matches,f2bf1b0f
20,Jayden Adams,MF,za South Africa,25,2001,3,116,39,32.2,1.3,2,53,0,1,11,1,1.33,0,2,-2,-1.55,-1.55,Matches,259affab
21,Tyler Adams,MF,us United States,27,1999,4,341,85,75.8,3.8,4,85,3,0,,1,2.25,9,4,+5,+1.32,+2.97,Matches,2b09d998
22,Ricardo Adé,DF,ht Haiti,36,1990,3,270,90,100.0,3.0,3,90,3,0,,0,0.00,2,8,-6,-2.00,,Matches,a9ee5e81
23,Ibrahim Adel,MF,eg Egypt,25,2001,1,3,3,0.6,0.0,0,,0,1,3,4,1.00,0,0,0,0.00,-0.19,Matches,4869216e
24,Simon Adingra,FWMF,ci Côte d'Ivoire,24,2002,1,16,16,4.4,0.2,0,,0,1,16,3,0.00,0,1,-1,-5.63,-6.15,Matches,4dcec659
25,Jonas Adjetey,DF,gh Ghana,22,2003,3,225,75,62.5,2.5,3,75,2,0,,1,1.33,1,1,0,0.00,+0.67,Matches,bdbf78cd
26,Michel Aebischer,MFFW,ch Switzerland,29,1997,4,156,39,26.0,1.7,2,68,0,2,11,1,2.50,1,1,0,0.00,-0.81,Matches,f9c927de
27,David Affengruber,DF,at Austria,25,2001,0,,,,,0,,0,0,,4,,,,,,,Matches,4b00cd47
28,Akram Afif,FWMF,qa Qatar,29,1996,3,238,79,88.1,2.6,3,79,2,0,,0,0.33,2,7,-5,-1.89,+6.55,Matches,fd53d9e7
29,Emmanuel Agbadou,DF,ci Côte d'Ivoire,28,1997,3,270,90,75.0,3.0,3,90,3,0,,1,1.00,3,4,-1,-0.33,-2.33,Matches,75f1ed80
30,Rodrigo Aguirre,FW,uy Uruguay,31,1994,1,1,1,0.4,0.0,0,,0,1,1,2,1.00,0,0,0,0.00,+0.33,Matches,b5691f5d
31,Ali Ahmed,MF,ca Canada,25,2000,4,234,59,52.0,2.6,3,68,0,1,30,1,1.00,5,3,+2,+0.77,+0.35,Matches,540a5be1
32,Homam Ahmed,DF,qa Qatar,26,1999,2,122,61,45.2,1.4,2,61,1,0,,0,0.50,1,3,-2,-1.48,+2.17,Matches,a62fa158
33,Rayan Aït-Nouri,DF,dz Algeria,25,2001,4,284,71,78.9,3.2,3,88,2,1,20,0,1.00,3,7,-4,-1.27,-1.27,Matches,9b398aea
34,Kristoffer Ajer,DF,no Norway,28,1998,5,480,96,84.2,5.3,5,96,5,0,,1,2.40,12,7,+5,+0.94,+3.94,Matches,a8c0acb7
35,Manuel Akanji,DF,ch Switzerland,30,1995,6,600,100,100.0,6.7,6,100,6,0,,0,1.83,10,6,+4,+0.60,,Matches,89ac64a6
36,Samet Akaydın,DF,tr Türkiye,32,1994,0,,,,,0,,0,0,,3,,,,,,,Matches,7328bee5
37,Nathan Aké,DF,nl Netherlands,31,1995,3,170,57,43.6,1.9,2,80,1,1,10,1,1.67,3,2,+1,+0.53,-1.52,Matches,eaeca114
38,Yunus Akgün,MF,tr Türkiye,25,2000,2,88,44,32.6,1.0,1,59,0,1,29,1,0.00,0,2,-2,-2.05,-2.05,Matches,1453e3cf
39,Maghnes Akliouche,MF,fr France,24,2002,1,8,8,1.1,0.1,0,,0,1,8,7,3.00,0,0,0,0.00,-1.26,Matches,b625b241
40,Kerem Aktürkoğlu,FW,tr Türkiye,27,1998,2,129,65,47.8,1.4,2,65,0,0,,1,0.00,0,3,-3,-2.09,-2.73,Matches,f28659fb
41,Mohamed Alaa,GK,eg Egypt,27,1999,0,,,,,0,,0,0,,5,,,,,,,Matches,83ba02b3
42,Tarek Alaa,DF,eg Egypt,24,2002,0,,,,,0,,0,0,,5,,,,,,,Matches,bf73f76b
43,Ahmed Alaaeldin,FW,qa Qatar,33,1993,2,43,22,15.9,0.5,0,,0,2,22,1,0.50,1,1,0,0.00,+3.17,Matches,74fbbb3c
44,David Alaba,DF,at Austria,33,1992,4,275,69,76.4,3.1,4,69,1,0,,0,1.00,3,7,-4,-1.31,-2.37,Matches,05439de2
45,Kerim Alajbegović,MF,ba Bosnia–Herz,18,2007,4,277,69,76.9,3.1,3,87,1,1,17,0,1.00,3,7,-4,-1.30,-2.38,Matches,f3d9291e
46,Jordy Alcivar,MF,ec Ecuador,26,1999,1,45,45,12.5,0.5,1,45,0,0,,3,1.00,0,0,0,0.00,+0.57,Matches,6e98c19f
47,Omar Alderete,DF,py Paraguay,29,1996,4,320,80,66.7,3.6,4,80,2,0,,1,1.00,2,4,-2,-0.56,0.00,Matches,bb08bce9
48,Almoez Ali,FW,qa Qatar,29,1996,1,19,19,7.0,0.2,0,,0,1,19,2,0.00,0,1,-1,-4.74,-2.23,Matches,bae045a9
49,Hussein Ali,DF,iq Iraq,24,2002,2,162,81,60.0,1.8,2,81,1,0,,1,0.00,1,5,-4,-2.22,+3.61,Matches,b8a919ad
50,Mohanad Ali,FW,iq Iraq,25,2000,1,13,13,4.8,0.1,0,,0,1,13,2,0.00,0,1,-1,-6.92,-3.42,Matches,f929049b
51,Taha Ali,FWMF,se Sweden,27,1998,2,37,19,10.3,0.4,0,,0,2,19,2,0.00,0,2,-2,-4.86,-4.59,Matches,da4b8a4e
52,Khojiakbar Alijonov,MF,uz Uzbekistan,29,1997,2,135,68,50.0,1.5,1,90,1,1,45,1,0.00,1,5,-4,-2.67,+0.67,Matches,e53cbd7a
53,Ali Alipour,FW,ir IR Iran,30,1995,1,38,38,14.1,0.4,0,,0,1,38,2,1.00,1,1,0,0.00,0.00,Matches,488ee64c
54,Alisson,GK,br Brazil,33,1992,5,450,90,100.0,5.0,5,90,5,0,,0,2.00,10,4,+6,+1.20,,Matches,7a2e46a8
55,Thiago Almada,MF,ar Argentina,25,2001,5,241,48,29.8,2.7,3,60,0,2,31,3,3.00,6,1,+5,+1.87,+0.92,Matches,27f33438
