jugador,posicion,seleccion,edad,anio_nacimiento,partidos_jugados,minutos,minutos_por_partido,pct_minutos_equipo,partidos_90,titularidades,minutos_por_titularidad,partidos_completos,apariciones_suplente,minutos_por_sustitucion,suplente_no_utilizado,puntos_por_partido,goles_favor_en_cancha,goles_contra_en_cancha,diferencial,diferencial_por90,diferencial_neto_con_sin,id_jugador,club,goles,asistencias,goles_mas_asistencias,goles_sin_penal,penales_anotados,penales_intentados,tarjetas_amarillas,tarjetas_rojas,goles_por90,asistencias_por90,goles_asist_por90,goles_sin_penal_por90,goles_asist_sin_penal_por90,disparos,disparos_arco,pct_disparos_arco,disparos_por90,disparos_arco_por90,goles_por_disparo,goles_por_disparo_arco,doble_amarilla,faltas_cometidas,faltas_recibidas,offsides,centros,intercepciones,entradas_ganadas,penales_ganados,penales_concedidos,autogoles,goles_recibidos,goles_recibidos_por90,disparos_arco_recibidos,atajadas,pct_atajadas,victorias_portero,empates_portero,derrotas_portero,arco_en_cero,pct_arco_en_cero,penales_enfrentados_portero,penales_recibidos_portero,penales_atajados,penales_fallados_rival,pct_atajadas_penales
Brenden Aaronson,MF,United States,25,2000,1,76.0,76.0,16.9,0.8,1,76.0,0,0,,4,0.0,2.0,2.0,0.0,0.0,-0.72,5bc43860,Leeds United,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,33.3,3.55,1.18,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,
Thelo Aasgaard,MF,Norway,24,2002,1,90.0,90.0,15.8,1.0,1,90.0,1,0,,5,0.0,1.0,4.0,-3.0,-3.0,-3.94,c88a28b9,Rangers,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,50.0,2.0,1.0,0.5,1.0,0.0,0.0,3.0,0.0,0.0,3.0,1.0,,,0.0,,,,,,,,,,,,,,,
Achref Abada,DF,Algeria,26,1999,0,,,,,0,,0,0,,4,,,,,,,30885199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamza Abdelkarim,FW,Egypt,18,2008,4,60.0,15.0,12.5,0.7,0,,0,4,15.0,1,1.5,1.0,0.0,1.0,1.5,1.5,057d8f12,Barcelona B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,
Hossam Abdelmaguid,DF,Egypt,25,2001,2,59.0,30.0,12.3,0.7,0,,0,2,30.0,2,2.0,0.0,0.0,0.0,0.0,-0.21,accbfc94,Zamalek SC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,,0.0,,,,,,,,,,,,,,,
Mohamed Abdelmonem,DF,Egypt,27,1999,2,14.0,7.0,2.9,0.2,1,13.0,0,1,1.0,1,2.0,1.0,1.0,0.0,0.0,-0.19,bff15d74,Nice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,
Ali Abdi,DF,Tunisia,32,1993,3,269.0,90.0,99.6,3.0,3,90.0,2,0,,0,0.0,2.0,12.0,-10.0,-3.35,-3.35,ad7cdb35,Nice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.33,0.0,0.0,,0.0,4.0,1.0,0.0,4.0,4.0,8.0,,,0.0,,,,,,,,,,,,,,,
Saud Abdulhamid,DF,Saudi Arabia,26,1999,3,269.0,90.0,99.6,3.0,3,90.0,2,0,,0,0.67,1.0,5.0,-4.0,-1.34,-1.34,caa254e4,Lens,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.67,0.0,0.0,,0.0,4.0,2.0,0.0,5.0,2.0,9.0,,,0.0,,,,,,,,,,,,,,,
Abdulla Abdullaev,DF,Uzbekistan,28,1997,2,180.0,90.0,66.7,2.0,2,90.0,2,0,,1,0.0,1.0,8.0,-7.0,-3.5,-1.5,03053fbf,Dibba Al Fujairah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,5.0,1.0,0.0,0.0,3.0,2.0,,,0.0,,,,,,,,,,,,,,,
Yusuf Abdurisag,FW,Qatar,26,1999,2,98.0,49.0,36.3,1.1,2,49.0,0,0,,1,0.5,0.0,3.0,-3.0,-2.76,-0.14,13c8f40b,Al-Wakrah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,1.0,2.0,0.0,0.0,1.0,2.0,,,0.0,,,,,,,,,,,,,,,
